endpoint_id,endpoint,method,true_label,rule_predict,ml_predict,rule_reason
872,/v1/upi/mandate,DELETE,active,orphaned,active,"no owner team + high traffic (5,506 calls/7d) — zombie endpoint"
212,/v1/transfers/swift,POST,active,active,active,"registered, owned, not deprecated"
1657,/v1/accounts/{accountId}/balance,PUT,active,active,active,"registered, owned, not deprecated"
1077,/v1/transfers/neft,POST,active,active,active,"registered, owned, not deprecated"
1628,/internal/aa/consent,GET,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
1185,/v1/upi/pay,DELETE,orphaned,orphaned,orphaned,"no owner team + high traffic (27,007 calls/7d) — zombie endpoint"
1410,/v1/accounts/{accountId}/transactions,GET,active,active,active,"registered, owned, not deprecated"
1225,/v1/customers/{customerId}/documents,GET,active,active,active,"registered, owned, not deprecated"
1574,/internal/loans/apply,POST,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
921,/v1/audit/logs,GET,active,active,active,"registered, owned, not deprecated"
1564,/internal/customers/{customerId}/preferences,POST,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
1687,/internal/beneficiaries,PUT,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
627,/v1/accounts/{accountId}/statement,POST,active,active,active,"registered, owned, not deprecated"
1500,/v3/accounts/{accountId}/balance,POST,deprecated,deprecated,deprecated,deprecated flag set in registry
216,/v1/upi/mandate,GET,deprecated,deprecated,deprecated,deprecated flag set in registry
117,/v1/kyc/video,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (20,485 calls/7d) — zombie endpoint"
751,/v1/upi/vpa/verify,GET,active,active,active,"registered, owned, not deprecated"
347,/v1/transfers/rtgs,POST,active,active,active,"registered, owned, not deprecated"
1059,/v2/transfers/imps,GET,active,active,orphaned,"registered, owned, not deprecated"
694,/v1/fd/{depositId}/close,GET,active,active,active,"registered, owned, not deprecated"
1883,/v1/accounts/{accountId}/balance,GET,orphaned,active,orphaned,"registered, owned, not deprecated"
1776,/v1/aa/consent,GET,orphaned,orphaned,orphaned,no owner team
355,/v1/fd/book,POST,orphaned,orphaned,orphaned,"no owner team + high traffic (21,680 calls/7d) — zombie endpoint"
8,/v1/loans/{loanId}/repayment,GET,deprecated,deprecated,deprecated,deprecated flag set in registry
1861,/internal/accounts/{accountId}/balance,GET,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
324,/internal/upi/pay,POST,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
1094,/v2/transfers/imps,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (29,945 calls/7d) — zombie endpoint"
1690,/v1/loans/{loanId}/schedule,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (28,891 calls/7d) — zombie endpoint"
288,/v2/transfers/imps,POST,active,active,active,"registered, owned, not deprecated"
662,/v1/customers/{customerId}/profile,GET,deprecated,deprecated,deprecated,deprecated flag set in registry
1824,/v1/transfers/swift,POST,orphaned,orphaned,orphaned,"no owner team + high traffic (15,592 calls/7d) — zombie endpoint"
497,/v1/loans/eligibility,POST,orphaned,orphaned,orphaned,"no owner team + high traffic (3,944 calls/7d) — zombie endpoint"
845,/v1/loans/{loanId}/schedule,GET,active,active,active,"registered, owned, not deprecated"
230,/v1/upi/collect,PUT,active,active,active,"registered, owned, not deprecated"
795,/v1/cards/{cardId}/limit,DELETE,orphaned,active,orphaned,"registered, owned, not deprecated"
541,/v1/accounts/{accountId}/statement,POST,active,active,active,"registered, owned, not deprecated"
11,/internal/accounts/{accountId}/balance,GET,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
714,/v1/transfers/neft,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (5,127 calls/7d) — zombie endpoint"
1072,/v1/upi/mandate,GET,active,active,active,"registered, owned, not deprecated"
1122,/v2/upi/pay,GET,active,active,active,"registered, owned, not deprecated"
1476,/v2/upi/pay,POST,active,active,active,"registered, owned, not deprecated"
853,/internal/audit/logs,GET,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
447,/v1/beneficiaries/{beneficiaryId},POST,active,active,active,"registered, owned, not deprecated"
1036,/v1/transfers/rtgs,POST,active,active,active,"registered, owned, not deprecated"
646,/v1/beneficiaries/{beneficiaryId},GET,orphaned,orphaned,orphaned,no owner team
57,/v1/cards/{cardId}/freeze,GET,orphaned,active,orphaned,"registered, owned, not deprecated"
1658,/v1/cards/{cardId}/limit,PUT,active,active,active,"registered, owned, not deprecated"
1558,/v3/upi/pay,GET,active,active,active,"registered, owned, not deprecated"
1523,/v1/beneficiaries,POST,orphaned,orphaned,orphaned,no owner team
223,/v1/rd/book,GET,active,active,active,"registered, owned, not deprecated"
567,/v1/rd/book,POST,deprecated,deprecated,deprecated,deprecated flag set in registry
1688,/internal/beneficiaries/{beneficiaryId},POST,orphaned,orphaned,orphaned,not in API registry (shadow endpoint)
485,/v1/forex/book,POST,deprecated,deprecated,deprecated,deprecated flag set in registry
480,/v1/loans/{loanId}/schedule,POST,orphaned,orphaned,orphaned,no owner team
1243,/v1/customers/{customerId}/documents,POST,active,active,active,"registered, owned, not deprecated"
201,/v1/forex/book,POST,orphaned,active,orphaned,"registered, owned, not deprecated"
965,/v1/forex/quote,PATCH,deprecated,deprecated,deprecated,deprecated flag set in registry
297,/v1/customers/{customerId}/preferences,POST,orphaned,orphaned,orphaned,"no owner team + high traffic (7,586 calls/7d) — zombie endpoint"
1050,/v1/upi/vpa/verify,GET,active,active,active,"registered, owned, not deprecated"
465,/v1/transfers/neft,POST,active,active,active,"registered, owned, not deprecated"
55,/v1/upi/mandate,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (24,453 calls/7d) — zombie endpoint"
1245,/v1/loans/{loanId}/repayment,POST,active,active,active,"registered, owned, not deprecated"
343,/v1/loans/eligibility,POST,deprecated,deprecated,deprecated,deprecated flag set in registry
1579,/v1/beneficiaries,GET,orphaned,orphaned,orphaned,"no owner team + high traffic (10,127 calls/7d) — zombie endpoint"
